date,usd,eur,gbp,jpy
2009-11-06,,1.432514,1.455290,0.267000
2009-11-09,,1.367767,1.391084,0.268000
2009-11-10,,1.356148,1.386422,0.259000
2009-11-11,,1.361653,1.327477,0.254000
2009-11-12,,1.360397,1.316907,0.254000
2009-11-13,,1.336709,1.375433,0.249000
2009-11-16,,1.334375,1.381599,0.245000
2009-11-17,,1.336048,1.316751,0.240000
2009-11-18,,1.333997,1.306191,0.235000
2009-11-19,,1.311109,1.291933,0.236000
2009-11-20,,1.370961,1.288247,0.246000
2009-11-23,,1.395272,1.305030,
2009-11-24,,1.366818,1.301125,0.251000
2009-11-25,,1.406790,1.287750,0.240000
2009-11-26,,1.321876,1.245005,0.240000
2009-11-27,,1.322821,1.275821,0.225000
2009-11-30,,1.337499,1.255133,0.225000
2009-12-01,,1.316743,1.224011,0.165000
2009-12-02,,1.319759,1.219266,0.175000
2009-12-03,,1.357509,1.219804,0.169000
2009-12-04,,1.412416,1.278068,0.169000
2009-12-07,,1.378661,1.254328,0.174000
2009-12-08,,1.289887,1.233329,0.180000
2009-12-09,,1.298267,1.199434,0.179000
2009-12-10,,1.324204,1.261850,0.179000
2009-12-11,,1.355745,1.318829,0.169000
2009-12-14,,1.330362,1.301659,0.170000
2009-12-15,,1.336415,1.346516,0.165000
2009-12-16,,1.304838,1.335596,0.165000
2009-12-17,,1.242862,1.292398,0.165000
2009-12-18,,1.246843,1.222053,0.159000
2009-12-21,,1.254905,1.313884,0.155000
2009-12-22,,1.268601,1.358635,0.155000
2009-12-23,,1.271084,1.428511,
2009-12-24,,1.270306,1.447164,0.155000
2009-12-25,,,,0.155000
2009-12-28,,1.320033,,0.155000
2009-12-29,,1.361696,1.499430,0.146000
2009-12-30,,1.382051,1.493495,0.136000
2009-12-31,,1.378829,1.441806,
2010-01-04,1.090000,1.445750,1.450123,0.147000
2010-01-05,1.010000,1.408619,1.487027,0.148000
2010-01-06,1.010000,1.402083,1.466350,0.154000
2010-01-07,1.030000,1.382867,1.448577,0.154000
2010-01-08,0.960000,1.350298,1.447474,0.164000
