"CubeId";"rendeiduebd"
"PublishingDate";"2026-08-03 14:30"

"Date";"D0";"D1";"Value"
"1988-01-08";"CHF";"3J";
"1988-01-08";"CHF";"4J";
"1988-01-08";"CHF";"5J";
"1988-01-08";"CHF";"6J";
"1988-01-08";"CHF";"7J";
"1988-01-08";"CHF";"8J";
"1988-01-08";"CHF";"9J";
"1988-01-08";"CHF";"10J";
"1988-01-08";"CHF";"20J";
"1988-01-08";"CHF";"30J";
"1988-01-08";"EUR";"1J";
"1988-01-08";"EUR";"2J";
"1988-01-08";"EUR";"3J";
"1988-01-08";"EUR";"4J";
"1988-01-08";"EUR";"5J";
"1988-01-08";"EUR";"6J";
"1988-01-08";"EUR";"7J";
"1988-01-08";"EUR";"8J";
"1988-01-08";"EUR";"9J";
"1988-01-08";"EUR";"10J";
"1988-01-08";"EUR";"20J";
"1988-01-08";"EUR";"30J";
"1988-01-08";"KTA";"2J";
"1988-01-08";"KTA";"5J";
"1988-01-08";"KTA";"10J";
"1988-01-08";"KTB";"2J";
"1988-01-08";"KTB";"5J";
"1988-01-08";"KTB";"10J";
"1988-01-08";"PFI";"2J";
"1988-01-08";"PFI";"5J";
"1988-01-08";"PFI";"10J";
"1988-01-08";"GBA";"2J";
"1988-01-08";"GBA";"5J";
"1988-01-08";"GBA";"10J";
"1988-01-08";"GBB";"2J";
"1988-01-08";"GBB";"5J";
"1988-01-08";"GBB";"10J";
"1988-01-08";"GBC";"2J";
"1988-01-08";"GBC";"5J";
"1988-01-08";"GBC";"10J";
"1988-01-08";"IHA";"2J";
"1988-01-08";"IHA";"5J";
"1988-01-08";"IHA";"10J";
"1988-01-08";"IHB";"2J";
"1988-01-08";"IHB";"5J";
"1988-01-08";"IHB";"10J";
"1988-01-11";"CHF";"1J";"3.442"
"1988-01-11";"CHF";"2J";"3.72"
"1988-01-11";"CHF";"3J";"3.783"
"1988-01-11";"CHF";"4J";"3.816"
"1988-01-11";"CHF";"5J";"3.847"
"1988-01-11";"CHF";"6J";"3.879"
"1988-01-11";"CHF";"7J";"3.913"
"1988-01-11";"CHF";"8J";"3.948"
"1988-01-11";"CHF";"9J";"3.982"
"1988-01-11";"CHF";"10J";"4.015"
"1988-01-11";"CHF";"20J";"4.232"
"1988-01-11";"CHF";"30J";
"1988-01-11";"EUR";"1J";
"1988-01-11";"EUR";"2J";
"1988-01-11";"EUR";"3J";
"1988-01-11";"EUR";"4J";
"1988-01-11";"EUR";"5J";
"1988-01-11";"EUR";"6J";
"1988-01-11";"EUR";"7J";
"1988-01-11";"EUR";"8J";
"1988-01-11";"EUR";"9J";
"1988-01-11";"EUR";"10J";
"1988-01-11";"EUR";"20J";
"1988-01-11";"EUR";"30J";
